logMstar logphi_z5-7_med logphi_z5-7_l68 logphi_z5-7_u68 logphi_z5-7_miri_med logphi_z5-7_miri_l68 logphi_z5-7_miri_u68 logphi_z7-9_med logphi_z7-9_l68 logphi_z7-9_u68 logphi_z7-9_miri_med logphi_z7-9_miri_l68 logphi_z7-9_miri_u68
8.4 -0.76 -3.11 2.46 -3.34 -4.18 -2.27 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
8.6 -1.46 -3.36 1.36 -3.57 -4.2 -2.71 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
8.8 -2.11 -3.68 0.38 -3.78 -4.28 -3.05 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
9.0 -2.73 -4.0 -0.61 -3.98 -4.36 -3.39 -1.64 -4.02 2.99 -4.0 -4.75 -3.15
9.2 -3.28 -4.26 -1.52 -4.15 -4.44 -3.73 -2.33 -4.22 1.68 -4.23 -4.77 -3.54
9.4 -3.75 -4.48 -2.33 -4.33 -4.53 -3.98 -2.93 -4.44 0.52 -4.38 -4.77 -3.84
9.6 -4.11 -4.65 -3.0 -4.48 -4.67 -4.22 -3.44 -4.6 -0.53 -4.51 -4.79 -4.07
9.8 -4.38 -4.78 -3.52 -4.7 -4.85 -4.46 -3.88 -4.74 -1.51 -4.62 -4.88 -4.29
10.0 -4.55 -4.86 -3.92 -4.95 -5.13 -4.73 -4.23 -4.86 -2.37 -4.81 -5.02 -4.54
10.2 -4.67 -4.9 -4.2 -5.29 -5.55 -5.05 -4.5 -4.96 -3.08 -5.09 -5.32 -4.82
10.4 -4.76 -4.95 -4.38 -99.0 -99.0 -99.0 -4.7 -5.01 -3.66 -99.0 -99.0 -99.0
10.6 -4.82 -5.01 -4.53 -99.0 -99.0 -99.0 -4.83 -5.07 -4.07 -99.0 -99.0 -99.0
10.8 -4.95 -5.12 -4.69 -99.0 -99.0 -99.0 -4.93 -5.13 -4.4 -99.0 -99.0 -99.0
11.0 -5.12 -5.28 -4.9 -99.0 -99.0 -99.0 -5.02 -5.2 -4.64 -99.0 -99.0 -99.0
11.2 -5.32 -5.49 -5.1 -99.0 -99.0 -99.0 -5.14 -5.33 -4.85 -99.0 -99.0 -99.0
11.4 -5.57 -5.79 -5.33 -99.0 -99.0 -99.0 -5.26 -5.46 -5.02 -99.0 -99.0 -99.0
11.6 -5.87 -6.2 -5.58 -99.0 -99.0 -99.0 -5.41 -5.66 -5.14 -99.0 -99.0 -99.0
11.8 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -5.57 -5.85 -5.31 -99.0 -99.0 -99.0
