logLbol logphi_z5-7_med logphi_z5-7_l68 logphi_z5-7_u68 logphi_z5-7_miri_med logphi_z5-7_miri_l68 logphi_z5-7_miri_u68 logphi_z7-9_med logphi_z7-9_l68 logphi_z7-9_u68 logphi_z7-9_miri_med logphi_z7-9_miri_l68 logphi_z7-9_miri_u68
44.8 -3.7 -4.81 -2.06 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
45.0 -3.99 -4.78 -2.71 -3.87 -4.7 -2.55 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
45.2 -4.21 -4.77 -3.24 -4.05 -4.62 -3.05 -3.83 -4.87 -1.91 -99.0 -99.0 -99.0
45.4 -4.35 -4.74 -3.63 -4.18 -4.59 -3.43 -4.09 -4.79 -2.63 -4.08 -4.87 -2.56
45.6 -4.43 -4.71 -3.91 -4.3 -4.58 -3.71 -4.28 -4.77 -3.2 -4.23 -4.78 -3.1
45.8 -4.49 -4.71 -4.11 -4.37 -4.61 -3.97 -4.38 -4.74 -3.61 -4.32 -4.71 -3.53
46.0 -4.56 -4.72 -4.27 -4.49 -4.67 -4.19 -4.46 -4.72 -3.9 -4.4 -4.69 -3.82
46.2 -4.63 -4.78 -4.4 -4.62 -4.78 -4.36 -4.53 -4.73 -4.13 -4.51 -4.73 -4.11
46.4 -4.73 -4.87 -4.52 -4.74 -4.91 -4.53 -4.61 -4.78 -4.33 -4.64 -4.82 -4.34
46.6 -4.88 -5.01 -4.66 -4.89 -5.06 -4.64 -4.73 -4.88 -4.52 -4.83 -5.0 -4.59
46.8 -5.07 -5.21 -4.87 -5.1 -5.32 -4.85 -4.9 -5.04 -4.72 -5.04 -5.26 -4.81
47.0 -5.32 -5.47 -5.14 -5.42 -5.73 -5.15 -5.13 -5.27 -4.93 -5.33 -5.64 -5.05
47.2 -5.6 -5.82 -5.4 -99.0 -99.0 -99.0 -5.38 -5.56 -5.18 -99.0 -99.0 -99.0
47.4 -5.94 -6.27 -5.67 -99.0 -99.0 -99.0 -5.72 -6.0 -5.48 -99.0 -99.0 -99.0
