logwavrest logwavobs lognuLnu logfnu
-4.7 -3.855 8.847 -6.521
-4.689 -3.844 8.847 -6.51
-4.679 -3.833 8.847 -6.499
-4.668 -3.823 8.847 -6.489
-4.657 -3.812 8.847 -6.478
-4.646 -3.801 8.847 -6.468
-4.636 -3.791 8.846 -6.457
-4.625 -3.78 8.846 -6.447
-4.614 -3.769 8.846 -6.436
-4.603 -3.758 8.845 -6.426
-4.593 -3.748 8.845 -6.416
-4.582 -3.737 8.845 -6.405
-4.571 -3.726 8.844 -6.395
-4.561 -3.715 8.844 -6.385
-4.55 -3.705 8.843 -6.375
-4.539 -3.694 8.842 -6.365
-4.528 -3.683 8.842 -6.355
-4.518 -3.673 8.841 -6.345
-4.507 -3.662 8.84 -6.335
-4.496 -3.651 8.839 -6.325
-4.486 -3.64 8.838 -6.315
-4.475 -3.63 8.838 -6.305
-4.464 -3.619 8.837 -6.295
-4.453 -3.608 8.836 -6.286
-4.443 -3.598 8.835 -6.276
-4.432 -3.587 8.834 -6.266
-4.421 -3.576 8.833 -6.256
-4.41 -3.565 8.832 -6.247
-4.4 -3.555 8.831 -6.237
-4.389 -3.544 8.829 -6.228
-4.378 -3.533 8.828 -6.218
-4.368 -3.522 8.827 -6.209
-4.357 -3.512 8.826 -6.199
-4.346 -3.501 8.824 -6.19
-4.335 -3.49 8.823 -6.18
-4.325 -3.48 8.822 -6.171
-4.314 -3.469 8.82 -6.162
-4.303 -3.458 8.819 -6.152
-4.292 -3.447 8.817 -6.143
-4.282 -3.437 8.816 -6.134
-4.271 -3.426 8.814 -6.125
-4.26 -3.415 8.813 -6.115
-4.25 -3.404 8.811 -6.106
-4.239 -3.394 8.81 -6.097
-4.228 -3.383 8.808 -6.088
-4.217 -3.372 8.806 -6.079
-4.207 -3.362 8.804 -6.07
-4.196 -3.351 8.803 -6.061
-4.185 -3.34 8.801 -6.052
-4.175 -3.329 8.799 -6.044
-4.164 -3.319 8.797 -6.035
-4.153 -3.308 8.795 -6.026
-4.142 -3.297 8.793 -6.017
-4.132 -3.287 8.791 -6.009
-4.121 -3.276 8.789 -6.0
-4.11 -3.265 8.787 -5.991
-4.099 -3.254 8.784 -5.983
-4.089 -3.244 8.782 -5.975
-4.078 -3.233 8.78 -5.966
-4.067 -3.222 8.777 -5.958
-4.057 -3.211 8.775 -5.95
-4.046 -3.201 8.772 -5.941
-4.035 -3.19 8.77 -5.933
-4.024 -3.179 8.767 -5.925
-4.014 -3.169 8.764 -5.917
-4.003 -3.158 8.761 -5.91
-4.0 -3.155 8.761 -5.907
-3.989 -3.144 8.758 -5.9
-3.979 -3.133 8.755 -5.892
-3.968 -3.123 8.751 -5.885
-3.957 -3.112 8.748 -5.877
-3.946 -3.101 8.745 -5.87
-3.936 -3.091 8.741 -5.863
-3.925 -3.08 8.737 -5.856
-3.914 -3.069 8.733 -5.849
-3.903 -3.058 8.729 -5.842
-3.893 -3.048 8.725 -5.836
-3.882 -3.037 8.721 -5.829
-3.871 -3.026 8.716 -5.823
-3.861 -3.015 8.711 -5.817
-3.85 -3.005 8.706 -5.811
-3.839 -2.994 8.701 -5.806
-3.828 -2.983 8.696 -5.8
-3.818 -2.973 8.692 -5.794
-3.807 -2.962 8.686 -5.789
-3.796 -2.951 8.68 -5.785
-3.786 -2.94 8.673 -5.78
-3.775 -2.93 8.666 -5.776
-3.764 -2.919 8.659 -5.773
-3.753 -2.908 8.692 -5.73
-3.743 -2.898 8.686 -5.724
-3.732 -2.887 8.681 -5.719
-3.721 -2.876 8.675 -5.714
-3.71 -2.865 8.669 -5.71
-3.7 -2.855 8.662 -5.705
-3.689 -2.844 8.655 -5.702
-3.678 -2.833 8.648 -5.698
-3.668 -2.822 8.641 -5.695
-3.657 -2.812 8.632 -5.692
-3.646 -2.801 8.624 -5.69
-3.635 -2.79 8.615 -5.689
-3.625 -2.78 8.605 -5.687
-3.614 -2.769 8.595 -5.687
-3.603 -2.758 8.584 -5.687
-3.592 -2.747 8.573 -5.688
-3.582 -2.737 8.561 -5.689
-3.571 -2.726 8.547 -5.692
-3.56 -2.715 8.534 -5.695
